bowler,MOM,total_overs,total_runs,avg_economy,death_over,over,wide_runs,WoPerOver,noball_runs,NoPerOver,powerplay_over,wickets
Ankit Soni,,19.0,145.0,7.63157894736842,1.0,19.0,3.0,0.157894736842105,0.0,0.0,1.0,4.0
Anureet Singh,,69.0,636.0,9.21739130434782,22.0,69.0,16.0,0.231884057971014,6.0,0.0869565217391304,27.0,1.0
Avesh Khan,,26.0,264.0,10.1538461538461,4.0,26.0,3.0,0.115384615384615,1.0,0.0384615384615384,16.0,1.0
B Akhil,,32.0,246.0,7.6875,9.0,32.0,5.0,0.15625,2.0,0.0625,1.0,
B Chipli,,1.0,20.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
B Geeves,,8.0,91.0,11.375,1.0,8.0,1.0,0.125,0.0,0.0,4.0,
B Laughlin,,28.0,293.0,10.4642857142857,12.0,28.0,10.0,0.357142857142857,1.0,0.0357142857142857,6.0,
BAW Mendis,,41.0,306.0,7.46341463414634,9.0,41.0,7.0,0.170731707317073,1.0,0.024390243902439,10.0,
BB Sran,,81.0,786.0,9.7037037037037,15.0,81.0,32.0,0.395061728395061,7.0,0.0864197530864197,38.0,14.0
BE Hendricks,,25.0,239.0,9.56,9.0,25.0,10.0,0.4,1.0,0.04,10.0,
BJ Rohrer,,1.0,12.0,12.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,
BMAJ Mendis,,5.0,36.0,7.2,0.0,5.0,0.0,0.0,0.0,0.0,0.0,
Basil Thampi,,68.0,666.0,9.79411764705882,25.0,68.0,11.0,0.161764705882352,1.0,0.0147058823529411,18.0,15.0
Bipul Sharma,,72.0,581.0,8.06944444444444,6.0,72.0,15.0,0.208333333333333,0.0,0.0,13.0,8.0
C Ganapathy,,1.0,13.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
C Munro,,2.0,15.0,7.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
C Nanda,,8.0,58.0,7.25,1.0,8.0,2.0,0.25,0.0,0.0,0.0,
C de Grandhomme,,37.0,338.0,9.13513513513513,3.0,37.0,16.0,0.432432432432432,2.0,0.054054054054054,2.0,4.0
CJ Jordan,,33.0,316.0,9.57575757575757,11.0,33.0,17.0,0.515151515151515,2.0,0.0606060606060606,8.0,14.0
CJ McKay,,7.0,60.0,8.57142857142857,2.0,7.0,0.0,0.0,0.0,0.0,2.0,
CK Kapugedera,,3.0,49.0,16.3333333333333,1.0,3.0,0.0,0.0,0.0,0.0,0.0,
CK Langeveldt,,26.0,199.0,7.65384615384615,8.0,26.0,8.0,0.307692307692307,1.0,0.0384615384615384,14.0,
CR Woakes,,63.0,603.0,9.57142857142857,23.0,63.0,22.0,0.349206349206349,0.0,0.0,20.0,18.0
D Kalyankrishna,,8.0,88.0,11.0,1.0,8.0,2.0,0.25,0.0,0.0,0.0,
D Salunkhe,,8.0,80.0,10.0,1.0,8.0,7.0,0.875,1.0,0.125,0.0,
D Short,,3.0,27.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,
D Wiese,,47.0,409.0,8.70212765957446,11.0,47.0,11.0,0.234042553191489,1.0,0.0212765957446808,10.0,0.0
D Willey,,10.0,98.0,9.8,3.0,10.0,1.0,0.1,0.0,0.0,4.0,
D du Preez,,7.0,56.0,8.0,1.0,7.0,0.0,0.0,1.0,0.142857142857142,3.0,
DAJ Bracewell,,4.0,32.0,8.0,1.0,4.0,1.0,0.25,0.0,0.0,1.0,
DB Ravi Teja,,3.0,28.0,9.33333333333333,0.0,3.0,0.0,0.0,0.0,0.0,0.0,
DJ Harris,,3.0,26.0,8.66666666666666,1.0,3.0,0.0,0.0,0.0,0.0,0.0,
