,Player,Base.P 2015,Team 2015,Auction.P 2015,Playing Role,Base.P 2018,Team 2018,Auction.P 2018,Team 2012,Base.P 2012,Auction.P 2012,Team 2009,Auction.P 2009,Base.P 2009
239,Kevon Cooper,,,,,,,,Rajasthan Royals,"$50,000","$50,000",,,
240,James Faulkner,,,,,,,,Kings XI Punjab,"$100,000","$190,000",,,
241,Azhar Mahmood,,,,,,,,Kings XI Punjab,"$100,000","$200,000",,,
242,Thisara Perera,,,,,,,,Mumbai Indians,"$50,000","$650,000",,,
243,Marchant de Lange,,,,,,,,Kolkata Knight Riders,"$50,000","$50,000",,,
244,Darren Bravo,,,,,,,,Deccan Chargers,"$100,000","$100,000",,,
245,Doug Bracewell,,,,,,,,Delhi Daredevils,"$50,000","$50,000",,,
246,Shaun Tait,,,,,,,,,,,Rajasthan Royals,"$375,000","$250,000"
247,JP Duminy,,,,,,,,,,,Mumbai Indians,"$950,000","$300,000"
248,Andrew Flintoff,,,,,,,,,,,Chennai Super Kings,"$1,550,000","$950,000"
249,Fidel Edwards,,,,,,,,,,,Deccan Chargers,"$150,000","$150,000"
250,Owais Shah,,,,,,,,,,,Delhi Daredevils,"$275,000","$150,000"
251,Paul Collingwood,,,,,,,,,,,Delhi Daredevils,"$275,000","$250,000"
252,Tyron Henderson,,,,,,,,,,,Rajasthan Royals,"$650,000","$100,000"
253,Thilan Thushara,,,,,,,,,,,Chennai Super Kings,"$140,000","$100,000"
254,Jesse Ryder,,,,,,,,,,,Royal Challengers Bangalore,"$160,000","$100,000"
255,Kyle Mills,,,,,,,,,,,Mumbai Indians,"$150,000","$150,000"
256,Dwayne Smith,,,,,,,,,,,Deccan Chargers,"$100,000","$100,000"
257,Jerome Taylor,,,,,,,,,,,Kings XI Punjab,"$150,000","$150,000"
258,Mohammad Ashraful,,,,,,,,,,,Mumbai Indians,"$75,000","$75,000"
259,Mashrafe Mortaza,,,,,,,,,,,Kolkata Knight Riders,"$600,000","$50,000"
260,George Bailey,,,,,,,,,,,Chennai Super Kings,"$50,000","$50,000"
