batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's,values
CR Woakes,6.57142857142857,4,1,0,0,47,46,97.8723404255319,0,0.14552093001092842
F Behardien,4.66666666666666,2,0,0,0,13,14,107.692307692307,0,0.14123503007859267
MN Samuels,7.25,1,2,0,0,32,29,90.625,0,0.13960822129602976
PP Chawla,7.25,4,0,0,0,32,29,90.625,0,0.13842964986745834
NS Naik,11.5,1,0,0,0,33,23,69.6969696969697,0,0.1356882194733709
Basil Thampi,5.6,1,1,0,0,30,28,93.3333333333333,0,0.1326927352507634
AB Dinda,7.0,1,0,0,0,8,7,87.5,0,0.13037385523825998
UT Yadav,3.16666666666666,0,1,0,0,19,19,100.0,0,0.12617249678483852
A Mishra,6.625,2,2,0,0,70,53,75.7142857142857,0,0.12330369472669224
MG Johnson,6.25,1,1,0,0,31,25,80.6451612903225,0,0.12221422299994489
P Kumar,4.0,3,0,0,0,36,32,88.8888888888889,0,0.1198569087598777
NM Coulter-Nile,4.6,1,2,0,0,27,23,85.1851851851851,0,0.11983421327920064
S Aravind,5.33333333333333,2,0,0,0,40,32,80.0,0,0.11667557006214553
Sandeep Sharma,2.5,0,0,0,0,16,15,93.75,0,0.11442767964794949
BB Sran,1.33333333333333,0,0,0,0,4,4,100.0,0,0.11423473386860922
Vishnu Vinod,6.33333333333333,1,1,0,0,26,19,73.076923076923,0,0.11402913422754145
KW Richardson,1.0,0,0,0,0,1,1,100.0,0,0.11228417712194937
A Nehra,1.0,0,0,0,0,1,1,100.0,0,0.11228417712194937
LH Ferguson,1.0,0,0,0,0,1,1,100.0,0,0.11228417712194937
M Morkel,1.0,0,0,0,0,1,1,100.0,0,0.11228417712194937
KC Cariappa,3.75,0,1,0,0,18,15,83.3333333333333,0,0.11098741362981457
MR Marsh,7.0,0,0,0,0,11,7,63.6363636363636,0,0.10436336572777039
AD Nath,5.0,1,0,0,0,28,20,71.4285714285714,0,0.10426383041798402
AP Tare,5.2,5,0,0,0,40,26,65.0,0,0.10102463171244355
IK Pathan,3.25,0,0,0,0,17,13,76.4705882352941,0,0.09960455722944199
Ankit Soni,2.33333333333333,0,1,0,0,9,7,77.7777777777778,0,0.09713628793306966
TS Mills,2.66666666666666,0,1,0,0,11,8,72.7272727272727,0,0.09352204016479063
TA Boult,5.0,0,0,0,0,8,5,62.5,0,0.09280550099436151
Washington Sundar,1.8,0,0,0,0,12,9,75.0,0,0.0903066032850767
Swapnil Singh,4.0,0,0,0,0,20,12,60.0,0,0.08575365215527785
PSP Handscomb,6.0,0,0,0,0,12,6,50.0,0,0.08463088690751949
AS Rajpoot,4.0,1,0,0,0,7,4,57.1428571428571,0,0.08240515432767129
Mohammad Nabi,2.0,0,0,0,0,3,2,66.6666666666666,0,0.08174967292521713
I Sharma,2.66666666666666,1,0,0,0,13,8,61.5384615384615,0,0.08073320400095443
A Zampa,2.5,1,0,0,0,8,5,62.5,0,0.08062009896469717
PV Tambe,7.0,1,0,0,0,19,7,36.8421052631578,0,0.07630907791032457
AF Milne,2.33333333333333,0,0,0,0,12,7,58.3333333333333,0,0.07502136119314284
Imran Tahir,2.5,1,0,0,0,9,5,55.5555555555555,0,0.07319885354345168
CJ Jordan,1.5,0,0,0,0,5,3,60.0,0,0.07217535608211503
S Badree,2.6,0,0,0,0,25,13,52.0,0,0.07024171146061742
J Yadav,3.0,0,0,0,0,12,6,50.0,0,0.06940840447192229
YS Chahal,2.16666666666666,0,0,0,0,26,13,50.0,0,0.06591928206851586
SB Jakati,1.0,0,0,0,0,2,1,50.0,0,0.058731979319751486
DW Steyn,1.0,0,0,0,0,2,1,50.0,0,0.058731979319751486
PJ Sangwan,0.666666666666666,0,0,0,0,4,2,50.0,0,0.057146213088150766
JD Unadkat,2.0,0,0,0,0,5,2,40.0,0,0.053216705892250124
Z Khan,2.0,1,0,0,0,26,10,38.4615384615384,0,0.053009473735555174
VR Aaron,2.0,0,0,0,0,11,4,36.3636363636363,0,0.04957030494598342
S Nadeem,0.75,0,0,0,0,14,3,21.4285714285714,0,0.02721628178404767
S Gopal,2.0,0,0,0,0,16,2,12.5,0,0.023963958639502826
UBT Chand,0.0,0,0,0,0,5,0,0.0,0,7.692307692307693e-05
SN Thakur,0.0,0,0,0,0,3,0,0.0,0,3.846153846153846e-05
S Kaul,0.0,0,0,0,0,2,0,0.0,0,1.923076923076923e-05
MM Patel,0.0,0,0,0,0,1,0,0.0,0,0.0
S Kaushik,0.0,0,0,0,0,1,0,0.0,0,0.0
M Ashwin,0.0,0,0,0,0,1,0,0.0,0,0.0
