bowler,total_overs,total_runs,avg_economy,death_over,over,wide_runs,WoPerOver,noball_runs,NoPerOver,powerplay_over,wickets
RA Tripathi,1,12,12.0,0,1,0,0.0,0,0.0,0,0
RD Chahar,54,376,6.962962962962963,2,54,9,0.16666666666666666,0,0.0,7,2
RP Singh,299,2417,8.08361204013378,91,299,89,0.2976588628762542,13,0.043478260869565216,167,3
Rashid Khan,183,1257,6.868852459016392,35,183,15,0.08196721311475409,0,0.0,22,18
S Aravind,128,1057,8.2578125,26,128,31,0.2421875,1,0.0078125,71,16
S Badree,43,329,7.651162790697675,1,43,10,0.2325581395348837,0,0.0,26,9
S Gopal,99,753,7.606060606060606,9,99,3,0.030303030303030307,1,0.010101010101010102,7,0
S Kaul,164,1437,8.762195121951219,55,164,26,0.15853658536585366,4,0.024390243902439025,47,16
S Kaushik,34,304,8.941176470588236,4,34,5,0.14705882352941174,1,0.029411764705882356,3,6
S Ladda,23,225,9.782608695652174,6,23,2,0.08695652173913042,1,0.043478260869565216,3,0
S Nadeem,211,1589,7.530805687203793,20,211,25,0.11848341232227487,1,0.0047393364928909965,45,9
SB Jakati,182,1474,8.098901098901099,23,182,27,0.14835164835164835,2,0.01098901098901099,16,2
SK Raina,155,1139,7.348387096774193,24,155,22,0.14193548387096774,0,0.0,11,1
SL Malinga,478,3511,7.345188284518827,193,478,152,0.3179916317991632,20,0.04184100418410042,185,11
SM Boland,7,56,8.0,3,7,1,0.14285714285714285,0,0.0,3,3
SN Thakur,119,1107,9.302521008403364,38,119,41,0.3445378151260504,0,0.0,48,13
SP Narine,429,2939,6.8508158508158505,134,429,57,0.13286713286713284,2,0.004662004662004662,116,25
SR Watson,341,2751,8.067448680351907,99,341,98,0.2873900293255132,13,0.03812316715542522,139,28
SS Agarwal,4,42,10.5,0,4,0,0.0,0,0.0,1,1
STR Binny,99,767,7.7474747474747465,10,99,16,0.16161616161616166,1,0.010101010101010102,26,5
Sachin Baby,2,8,4.0,1,2,0,0.0,0,0.0,0,3
Sandeep Sharma,249,1967,7.899598393574298,49,249,50,0.2008032128514056,7,0.028112449799196783,157,36
Shakib Al Hasan,224,1685,7.522321428571429,35,224,35,0.15625,0,0.0,64,5
Swapnil Singh,10,90,9.0,0,10,1,0.1,0,0.0,0,1
T Natarajan,13,116,8.923076923076922,2,13,6,0.4615384615384616,0,0.0,4,2
T Shamsi,16,151,9.4375,3,16,0,0.0,0,0.0,0,3
TA Boult,128,1168,9.125,47,128,39,0.3046875,1,0.0078125,66,6
TG Southee,148,1340,9.054054054054054,40,148,45,0.3040540540540541,3,0.020270270270270268,82,12
TM Head,9,81,9.0,3,9,0,0.0,0,0.0,0,3
TS Mills,18,157,8.722222222222221,7,18,9,0.5,0,0.0,7,5
Tejas Baroka,4,33,8.25,1,4,0,0.0,0,0.0,1,0
UT Yadav,416,3640,8.75,117,416,110,0.2644230769230769,19,0.04567307692307692,176,30
V Kohli,43,371,8.627906976744184,5,43,8,0.18604651162790695,6,0.13953488372093026,0,0
VR Aaron,155,1392,8.980645161290322,35,155,64,0.4129032258064516,6,0.03870967741935484,55,9
