bowler,total_overs,total_runs,avg_economy,death_over,over,wide_runs,WoPerOver,noball_runs,NoPerOver,powerplay_over,wickets
GJ Maxwell,70,617,8.814285714,5,70,15,0.214285714,0,0,11,5
H Brar,5,48,9.6,0,5,0,0,0,0,2,0
H Gurney,27,247,9.148148148,9,27,6,0.222222222,1,0.037037037,11,7
H Vihari,1,9,9,0,1,0,0,0,0,0,0
H Viljoen,23,248,10.7826087,7,23,12,0.52173913,0,0,6,8
HH Pandya,146,1385,9.48630137,35,146,42,0.287671233,3,0.020547945,26,35
HV Patel,140,1262,9.014285714,31,140,38,0.271428571,2,0.014285714,38,10
Harbhajan Singh,563,4050,7.193605684,45,563,96,0.170515098,3,0.005328597,124,25
I Sharma,319,2682,8.407523511,64,319,96,0.300940439,21,0.065830721,201,14
I Sodhi,31,207,6.677419355,2,31,1,0.032258065,0,0,2,9
Imran Tahir,206,1656,8.038834951,54,206,36,0.174757282,1,0.004854369,8,32
J Archer,83,676,8.144578313,37,83,18,0.21686747,3,0.036144578,31,27
J Behrendorff,19,174,9.157894737,1,19,3,0.157894737,0,0,13,5
J Dala,3,35,11.66666667,0,3,1,0.333333333,0,0,1,0
J Searles,7,92,13.14285714,1,7,3,0.428571429,0,0,1,2
J Suchith,45,397,8.822222222,1,45,9,0.2,0,0,8,2
J Yadav,37,248,6.702702703,1,37,2,0.054054054,2,0.054054054,17,1
JD Unadkat,254,2244,8.834645669,82,254,34,0.133858268,1,0.003937008,87,23
JJ Bumrah,292,2299,7.873287671,122,292,41,0.140410959,23,0.078767123,95,38
JP Duminy,115,847,7.365217391,11,115,32,0.27826087,0,0,27,0
K Ahmed,38,351,9.236842105,10,38,14,0.368421053,0,0,21,20
K Gowtham,60,512,8.533333333,1,60,5,0.083333333,0,0,34,12
K Khejroliya,16,166,10.375,3,16,6,0.375,0,0,3,3
K Paul,28,261,9.321428571,9,28,15,0.535714286,5,0.178571429,1,9
K Rabada,70,599,8.557142857,32,70,24,0.342857143,2,0.028571429,29,28
KC Cariappa,36,350,9.722222222,3,36,6,0.166666667,2,0.055555556,6,0
KH Pandya,159,1159,7.289308176,17,159,26,0.163522013,1,0.006289308,31,25
KM Asif,6,77,12.83333333,1,6,2,0.333333333,0,0,4,3
KV Sharma,187,1482,7.92513369,13,187,13,0.069518717,0,0,26,5
Kuldeep Yadav,138,1173,8.5,21,138,23,0.166666667,0,0,9,23
L Ferguson,17,192,11.29411765,7,17,5,0.294117647,0,0,7,2
L Livingstone,1,13,13,0,1,0,0,0,0,0,0
L Ngidi,26,175,6.730769231,10,26,7,0.269230769,0,0,15,13
L Plunkett,25,235,9.4,8,25,4,0.16,0,0,7,4
M Ali,39,272,6.974358974,4,39,3,0.076923077,0,0,5,13
M Ashwin,70,570,8.142857143,13,70,17,0.242857143,1,0.014285714,3,8
M Lomror,3,27,9,0,3,0,0,0,0,0,0
M Markande,50,448,8.96,7,50,5,0.1,0,0,0,16
M Santner,14,105,7.5,2,14,10,0.714285714,1,0.071428571,4,4
M Ur Rahman,61,513,8.409836066,11,61,23,0.37704918,0,0,20,18
M Wood,4,52,13,2,4,1,0.25,0,0,0,0
MG Johnson,208,1749,8.408653846,52,208,66,0.317307692,9,0.043269231,104,2
MJ McClenaghan,213,1869,8.774647887,62,213,68,0.319248826,9,0.042253521,109,19
MK Tiwary,7,86,12.28571429,2,7,5,0.714285714,0,0,0,0
MM Sharma,293,2457,8.385665529,90,293,35,0.119453925,6,0.020477816,131,8
MP Stoinis,62,588,9.483870968,10,62,12,0.193548387,0,0,9,5
Mandeep Singh,2,26,13,0,2,0,0,0,0,0,0
Mohammad Nabi,46,314,6.826086957,3,46,0,0,0,0,22,9
Mohammed Shami,173,1599,9.242774566,50,173,57,0.329479769,3,0.01734104,79,25
Mohammed Siraj,93,900,9.677419355,36,93,37,0.397849462,2,0.021505376,23,20
Mustafizur Rahman,92,697,7.576086957,39,92,11,0.119565217,2,0.02173913,25,9
N Rana,16,124,7.75,1,16,3,0.1875,0,0,3,7
N Saini,48,434,9.041666667,15,48,6,0.125,5,0.104166667,23,12
O Thomas,10,94,9.4,2,10,1,0.1,2,0.2,6,5
P Krishna,69,685,9.927536232,27,69,18,0.260869565,4,0.057971014,31,16
P Negi,121,959,7.925619835,15,121,17,0.140495868,0,0,7,4
P R Barman,4,56,14,1,4,0,0,0,0,0,0
P Raj,5,60,12,0,5,3,0.6,0,0,2,1
PJ Sangwan,134,1202,8.970149254,23,134,50,0.373134328,6,0.044776119,55,0
PP Chawla,525,4153,7.91047619,70,525,63,0.12,1,0.001904762,58,23
R Ashwin,489,3391,6.934560327,74,489,111,0.226993865,2,0.00408998,136,28
R Parag,14,121,8.642857143,0,14,0,0,0,0,1,2
R Salam,4,45,11.25,1,4,1,0.25,2,0.5,2,0
R Tewatia,50,361,7.22,4,50,5,0.1,0,0,2,8
R Vinay Kumar,358,3043,8.5,113,358,50,0.139664804,11,0.030726257,126,2
RA Jadeja,420,3221,7.669047619,81,420,57,0.135714286,2,0.004761905,22,27
RD Chahar,54,376,6.962962963,2,54,9,0.166666667,0,0,7,13
Rashid Khan,183,1257,6.868852459,35,183,15,0.081967213,0,0,22,42
S Curran,34,336,9.882352941,13,34,8,0.235294118,1,0.029411765,10,11
S Dube,2,9,4.5,1,2,1,0.5,0,0,0,0
S Gopal,99,753,7.606060606,9,99,3,0.03030303,1,0.01010101,7,32
S Kaul,164,1437,8.762195122,55,164,26,0.158536585,4,0.024390244,47,30
S Kuggeleijn,8,73,9.125,4,8,2,0.25,0,0,1,2
S Lamichhane,35,303,8.657142857,5,35,1,0.028571429,0,0,12,14
S Mavi,28,288,10.28571429,7,28,11,0.392857143,1,0.035714286,13,7
S Midhun,2,32,16,0,2,1,0.5,0,0,0,0
S Nadeem,211,1589,7.530805687,20,211,25,0.118483412,1,0.004739336,45,8
S Rutherford,7,66,9.428571429,1,7,5,0.714285714,0,0,0,1
S Sharma,43,367,8.534883721,13,43,9,0.209302326,0,0,13,13
S Warrier,12,88,7.333333333,0,12,0,0,1,0.083333333,9,2
SK Raina,155,1139,7.348387097,24,155,22,0.141935484,0,0,11,0
SL Malinga,478,3511,7.345188285,193,478,152,0.317991632,20,0.041841004,185,18
SN Khan,1,6,6,1,1,0,0,0,0,0,0
SN Thakur,119,1107,9.302521008,38,119,41,0.344537815,0,0,48,26
SP Narine,429,2939,6.850815851,134,429,57,0.132867133,2,0.004662005,116,28
SR Watson,341,2751,8.06744868,99,341,98,0.287390029,13,0.038123167,139,7
STR Binny,99,767,7.747474747,10,99,16,0.161616162,1,0.01010101,26,1
Sandeep Sharma,249,1967,7.899598394,49,249,50,0.200803213,7,0.02811245,157,14
Shakib Al Hasan,224,1685,7.522321429,35,224,35,0.15625,0,0,64,18
T Curran,11,121,11,4,11,1,0.090909091,2,0.181818182,2,6
TA Boult,128,1168,9.125,47,128,39,0.3046875,1,0.0078125,66,25
TG Southee,148,1340,9.054054054,40,148,45,0.304054054,3,0.02027027,82,9
UT Yadav,416,3640,8.75,117,416,110,0.264423077,19,0.045673077,176,29
V Chakravarthy,3,35,11.66666667,0,3,0,0,0,0,1,1
V Shankar,14,154,11,3,14,6,0.428571429,1,0.071428571,0,2
VR Aaron,155,1392,8.980645161,35,155,64,0.412903226,6,0.038709677,55,4
Washington Sundar,59,467,7.915254237,3,59,8,0.13559322,0,0,25,8
YK Pathan,193,1443,7.476683938,15,193,43,0.222797927,0,0,59,1
YS Chahal,301,2416,8.026578073,40,301,60,0.199335548,6,0.019933555,54,30
Yuvraj Singh,146,1092,7.479452055,20,146,12,0.082191781,1,0.006849315,0,0
